Distance to school (km),Girls,,,Boys,,
,2007,2014,2017,2007,2014,2017
<1,"0.4 (0.3,0.6)","1.5 (1.2,1.8)","1.8 (1.4,2.1)","0.5 (0.4,0.7)","2 (1.7,2.4)","2.6 (2.2,3)"
"[1,2)","5.4 (4.5,6.3)","12 (10.4,13.5)","20.5 (18.4,22.6)","8.4 (7.4,9.4)","16 (14.1,17.9)","22.3 (20.4,24.3)"
"[2,3)","16 (14.1,17.9)","28.2 (25.2,31.3)","37.5 (34.2,40.8)","24.4 (22.5,26.3)","32.6 (29.8,35.4)","42.5 (39.4,45.6)"
"[3,5)","26.1 (23.2,28.9)","29.8 (26.2,33.4)","36.9 (32.8,40.9)","36.8 (34.1,39.5)","35.4 (31.9,38.9)","40.4 (36.9,43.9)"
>=5,"17.4 (15.1,19.7)","13.8 (11.7,16)","16.1 (14,18.2)","29 (26.8,31.1)","22 (19.7,24.2)","20.8 (18.9,22.6)"
