Grade enrolled,2007,,,,,2017,,,,
,d<1 km,"[1,2)","[2,3)","[3,5)",d>=5 km,d<1 km,"[1,2)","[2,3)","[3,5)",d>=5 km
Primary,83.3,9.5,3.5,1.5,2.2,75.4,10.9,4.1,2.5,7.1
Upper primary/middle,55,18.8,12.4,7,6.7,58.3,18.3,8.7,5.4,9.2
Secondary,33.7,17.5,17,14.6,17.3,33.5,20.8,15.9,10.6,19.1
Higher Secondary,17,12.6,14.1,13.6,42.8,19.5,15.5,14.9,11.9,38.2
