Value,Category
1,Jammu & Kashmir
11,Mountainous
1113,Jammu
1114,Kathus
12,Outer Hills
1209,Doda
1210,Udhampur
1211,Punch
1212,Rajauri
13,Jhelam Valley
1301,Kupwara
1302,Baramula
1303,Srinagar
1304,Badgam
1305,Pulwama
1306,Anantnag
14,Ladakh
1407,Leh* (Ladakh)
1408,Kargil*
2,Himachal Pradesh
21,Central
2102,Kangra
2104,Kullu
2105,Mandi
2106,Hamirpur
2107,Una
22,Trans Himalayan & Southern
2201,Chamba
2203,Lahul & Spiti
2208,Bilaspur
2209,Solan
2210,Sirmapur
2211,Shimla
2212,Kinnaur
3,Punjab
31,Northern
3101,Gurdaspur
3102,Amritsar
3103,Kapurthala
3104,Jalandhar
3105,Hoshiarpur
3106,Nawanshahr
3107,Rupnagar
32,Southern
3208,Fatehgarh Sahib
3209,Ludhiana
3210,Moga
3211,Firozpur
3212,Muktsar
3213,Faridkot
3214,Bhatinda
3215,Sahib Mansa
3216,Sangrur
3217,Patiala
4,Chandigarh
41,Chandigarh
4101,Chandigarh
5,Uttaranchal
51,Uttaranchal
5101,Uttar Kashi
5102,Chamoli
5103,Rudraprayag
5104,Tehri Garhwal
5105,Dehradun
5106,Garhwal
5107,Pithoragarh
5108,Bageswar
5109,Almora
5110,Champawat
5111,Nainital
5112,Udham Sing Nagar
5113,Hardwar
6,Haryana
61,Eastern
6101,Panchkula
6102,Ambala
6103,Yamuna Nagar
6104,Kurukshetra
6105,Kaithal
6106,Karnal
6107,Panipat
6108,Sonipat
6114,Rohtak
6115,Jhaijar
6118,Gurgaon
6119,Faridabad
62,Western
6209,Jind
6210,Fatehabad
6211,Sirsa
6212,Hisar
6213,Bhilwani
6216,Mahendragarh
6217,Rewari
7,Delhi
71,Delhi
7101,North West
7102,North
7103,North East
7104,East
7105,New Delhi
7106,Central
7107,West
7108,South West
7109,South
8,Rajasthan
81,Western
8103,Bikaner
8115,Jodhpur
8116,Jaisalmer
8117,Barmer
8118,Jalor
8119,Sirohi
8120,Pali
82,North-Eastern
8206,Alwar
8207,Bharatpur
8208,Dhaulpur
8209,Karauli
8210,Sawai Madhopur
8211,Dausa
8212,Jaipur
8221,Ajmer
8222,Tonk
8224,Bhilwara
83,Southern
8325,Rajsamand
8326,Udaipur
8327,Dungarpur
8328,Banswara
84,South-Eastern
8423,Bundi
8429,Chittaurgarh
8430,Kota
8431,Baran
8432,Jhalawar
85,Northern
8501,Ganganagar
8502,Hanumangarh
8504,Churu
8505,Jhunjhunun
8513,Sikar
8514,Nagaur
9,Uttar Pradesh
91,Northern Upper Ganga Plains
9101,Saharanpur
9102,Muzaffarnagar
9103,Bijnor
9104,Moradabad
9105,Rampur
9106,J Phule Nagar
9107,Meerut
9108,Baghpat
9109,Ghaziabad
9110,G. Buddha Nagar
92,Central
9224,Sitapur
9225,Hardoi
9226,Unnao
9227,Lucknow
9228,Rai Bareli
9233,Kanpur Dehat
9234,Kanpur Nagar
9242,Fatepur
9246,Barabanki
93,Eastern
9343,Pratapgarh
9344,Kaushambi
9345,Allahabad
9347,Faizabad
9348,Ambedkar Nag.
9349,Sultanpur
9350,Bahraich
9351,Shrawasti
9352,Balrampur
9353,Gonda
9354,Sidhartha Nagar
9355,Basti
9356,S. Kabir Nagar
9357,Maharajganj
9358,Gorakhpur
9359,Kushinagar
9360,Deoria
9361,Azamgarh
9362,Mau
9363,Ballia
9364,Jaunpur
9365,Ghazipur
9366,Chandauli
9367,Varanashi
9368,S R Nagar (Bhadohi)
9369,Mirzapur
9370,Sonbhadra
94,Southern
9435,Jalaun
9436,Jhansi
9437,Lalitpur
9438,Hamirpur
9439,Mahoba
9440,Banda
9441,Chitrakoot
95,Southern Upper Ganga Plains
9511,Bulandshahr
9512,Aligarh
9513,Hathras
9514,Mathura
9515,Agra
9516,Firozabad
9517,Etah
9518,Mainpuri
9519,Budaun
9520,Bareilly
9521,Pilibhit
9522,Shahjahanpur
9523,Kheri
9529,Farrukhabad
9530,Kannauj
9531,Etawah
9532,Auraiya
10,Bihar
101,Northern
10101,Champaran (W)
10102,Champaran (E)
10103,Sheohar
10104,Sitamari
10105,Madhubani
10106,Supaul
10107,Araria
10108,Kishanganj
10109,Purnea
10110,Katihar
10111,Madhepura
10112,Saharsa
10113,Darbhanga
10114,Muzaffarpur
10115,Gopalganj
10116,Siwan
10117,Saran
10118,Vaishali
10119,Samastipur
10120,Begusarai
10121,Khagaria
10125,Lakhisarai
10126,Sheikhpura
102,Central
10222,Bhagalpur
10223,Banka
10224,Munger
10225,Lakhisarai
10226,Sheikhpura
10227,Nalanda
10228,Patna
10229,Bhojpur
10230,Buxar
10231,Kaimur(Bhabua)
10232,Rohtas
10233,Jehanabad
10234,Aurangabad
10235,Gaya
10236,Nawada
10237,Jamui
11,Sikkim
111,Sikkim
11101,North (Mongam)
11102,West (Gyalshing)
11103,South (Nimachai)
11104,East (Gangtok)
12,Arunachal Pradesh
121,Arunachal Pradesh
12101,Tawang
12102,West Kameng
12103,East Kameng
12104,Papum Pare
12105,Lower Subansiri
12106,Upper Subansiri
12107,West Siang
12108,East Siang
12109,Upper Siang
12110,Dibang Valley
12111,Lohit
12112,Changlang
12113,Tirap
13,Nagaland
131,Nagaland
13101,Mon
13102,Tuensang
13103,Mukokchung
13104,Zunheboto
13105,Wokha
13106,Dimapur
13107,Kohima
13108,Phek
14,Manipur
141,Plains
14104,Bishnupur
14105,Thoubal
14106,Imphal West
14107,Imphal East
142,Hills
14201,Senapati
14202,Tamenglong
14203,Churachandpur
14208,Ukhrul
14209,Chandel
15,Mizoram
151,Mizoram
15101,Mamit
15102,Kolasib
15103,Aizwal
15104,Champhai
15105,Serchip
15106,Lunglei
15107,Lawngtlai
15108,Saiha
16,Tripura
161,Tripura
16101,West Tripura
16102,South Tripura
16103,Dhalai
16104,North Tripura
17,Meghalaya
171,Meghalaya
17101,West Garo Hills
17102,East Garo Hills
17103,South Garo Hills
17104,West Khasi Hills
17105,Ri - bhoi
17106,East Khasi Hills
17107,Jaintia Hills
18,Assam
181,Plains Eastern
18112,Lakhimpur
18113,Dhemaji
18114,Tinsukia
18115,Dibrugarh
18116,Sibsagar
18117,Jorhat
18118,Golaghat
